"id","fecha","hora","temperatura","humedad","intensidad_luz","humedad_suelo"
"326","2024-01-29","01:26:29","17.50","64.90","20.83","10.98"
"327","2024-01-29","01:26:34","17.50","64.90","20.83","12.56"
"328","2024-01-29","01:26:38","17.50","64.90","20.83","12.07"
"329","2024-01-29","01:26:43","17.50","64.90","20.83","12.86"
"330","2024-01-29","01:26:47","17.40","65.00","20.83","11.53"
"331","2024-01-29","01:26:51","17.50","64.90","20.83","10.43"
"332","2024-01-29","01:26:55","17.40","64.90","20.83","15.59"
"333","2024-01-29","01:26:59","17.50","64.90","20.83","11.41"
"334","2024-01-29","01:27:03","17.40","64.90","20.83","12.74"
"335","2024-01-29","01:27:08","17.50","64.90","20.83","10.37"
"336","2024-01-29","01:27:12","17.50","64.90","20.83","10.50"
"337","2024-01-29","01:27:16","17.50","64.80","20.83","12.13"
"338","2024-01-29","01:27:21","17.40","64.80","20.83","10.37"
"339","2024-01-29","01:27:25","17.40","64.80","20.83","9.71"
"340","2024-01-29","01:27:29","17.50","64.80","21.67","12.50"
"341","2024-01-29","01:27:33","17.50","64.80","21.67","10.37"
"342","2024-01-29","01:27:37","17.50","64.80","21.67","10.56"
"343","2024-01-29","01:27:42","17.40","64.80","20.83","11.53"
"344","2024-01-29","01:27:46","17.50","64.80","21.67","10.13"
"345","2024-01-29","01:27:50","17.40","64.80","21.67","11.10"
"346","2024-01-29","01:27:54","17.50","64.90","21.67","10.92"
"347","2024-01-29","01:28:02","17.50","64.90","20.83","12.07"
"348","2024-01-29","01:28:06","17.50","64.90","21.67","12.19"
"349","2024-01-29","01:28:10","17.50","64.90","21.67","12.50"
"350","2024-01-29","01:28:14","17.50","64.90","20.83","10.43"
"351","2024-01-29","01:28:19","17.50","64.80","21.67","12.56"
"352","2024-01-29","01:28:23","17.50","64.80","20.83","13.35"
"353","2024-01-29","01:28:27","17.50","64.80","21.67","11.59"
"354","2024-01-29","01:29:50","17.50","64.70","21.67","11.47"
"355","2024-01-29","01:29:54","17.50","64.70","21.67","14.01"
"356","2024-01-29","01:29:58","17.50","64.70","21.67","11.59"
"357","2024-01-29","01:30:02","17.50","64.70","20.83","11.16"
"358","2024-01-29","01:30:07","17.50","64.70","20.83","10.62"
"359","2024-01-29","01:30:11","17.50","64.70","21.67","11.65"
"360","2024-01-29","01:30:15","17.50","64.70","21.67","11.04"
"361","2024-01-29","01:30:19","17.50","64.70","21.67","11.22"
"362","2024-01-29","01:30:23","17.50","64.70","21.67","14.20"
"363","2024-01-29","01:30:28","17.50","64.80","21.67","11.47"
"364","2024-01-29","01:30:32","17.50","64.80","20.83","11.47"
"365","2024-01-29","01:30:36","17.50","64.80","21.67","10.56"
"366","2024-01-29","01:30:41","17.50","64.80","20.83","12.80"
"367","2024-01-29","01:30:45","17.50","64.80","21.67","11.53"
"368","2024-01-29","01:30:49","17.50","64.80","21.67","13.04"
"369","2024-01-29","01:30:53","17.50","64.80","21.67","14.75"
"370","2024-01-29","01:30:58","17.50","64.70","21.67","10.37"
"371","2024-01-29","01:31:02","17.50","64.60","21.67","11.34"
"372","2024-01-29","01:31:06","17.50","64.60","21.67","12.07"
"373","2024-01-29","01:31:11","17.50","64.50","21.67","11.04"
"374","2024-01-29","01:31:15","17.50","64.50","21.67","10.74"
"375","2024-01-29","01:31:19","17.50","64.50","21.67","12.56"
"376","2024-01-29","01:31:23","17.50","64.50","21.67","10.98"
"377","2024-01-29","01:31:27","17.50","64.60","21.67","11.83"
"378","2024-01-29","01:31:32","17.50","64.60","21.67","9.65"
"379","2024-01-29","01:31:36","17.50","64.60","21.67","11.41"
"380","2024-01-29","01:31:40","17.50","64.50","21.67","12.32"
"381","2024-01-29","01:31:44","17.50","64.50","20.83","16.32"
"382","2024-01-29","01:31:48","17.50","64.50","20.83","11.89"
"383","2024-01-29","01:31:52","17.50","64.50","21.67","10.86"
"384","2024-01-29","01:31:56","17.50","64.50","20.83","14.99"
"385","2024-01-29","01:32:01","17.50","64.60","21.67","15.47"
"386","2024-01-29","01:32:05","17.50","64.60","21.67","12.13"
"387","2024-01-29","01:32:09","17.50","64.60","21.67","10.86"
"388","2024-01-29","01:32:14","17.50","64.60","20.83","9.28"
"389","2024-01-29","01:32:18","17.50","64.60","21.67","13.65"
"390","2024-01-29","01:32:22","17.50","64.50","20.83","11.10"
"391","2024-01-29","01:32:26","17.50","64.50","21.67","15.84"
"392","2024-01-29","01:32:30","17.50","64.60","20.83","14.56"
